1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.808883070945739746e-01,9.750410318374633789e-01,9.566510319709777832e-01
8.522621393203735352e-01,1.064480304718017578e+00,9.831985235214233398e-01
9.168178439140319824e-01,1.339251518249511719e+00,1.078252196311950684e+00
9.493843317031860352e-01,1.419616937637329102e+00,1.140357613563537598e+00
8.305534720420837402e-01,1.544002056121826172e+00,1.387122392654418945e+00
8.856937289237976074e-01,1.516044139862060547e+00,1.446737170219421387e+00
9.323111176490783691e-01,1.556154966354370117e+00,1.499572753906250000e+00
1.055015563964843750e+00,1.677058100700378418e+00,1.597436666488647461e+00
1.182785987854003906e+00,1.766344785690307617e+00,1.676384806632995605e+00
