%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1573179525914599177,0,1573179525601811640,grasp_lab,tag_14,-1.21901634149,0.0380384323732,-3.07147751383,0.00521139313138,0.0384997182095,0.00210944050428,0.99924279499
1573179525914607287,0,1573179525601811640,grasp_lab,tag_8,-0.857350291227,-0.00564804518127,-1.21875481721,0.00385916806166,0.0345832219136,-0.00507340611314,0.999381492792
1573179525914613232,0,1573179525601811640,grasp_lab,tag_9,-0.644972605147,0.0241000881518,-3.11593675447,0.0106536203554,0.0372434327201,-0.0202467312983,0.999044291793
1573179525914619527,0,1573179525601811640,map,rig,0.00179626960445,0.000686185043597,0.00590504223846,0.999274744011,-0.00582352006567,-0.0376169035513,0.00102037437803
1573179525914625486,0,1573179525601811640,rig,cam0,5.65554856952e-26,-1.98590541323e-24,8.44475080218e-26,-9.84210563126e-25,7.15972256357e-25,6.8623506514e-25,1.0
1573179526124162282,0,1573179525819464838,map,grasp_lab,-4.49147907198e-21,-1.23844827926e-20,8.66795383295e-21,7.65590588676e-22,-2.04798161195e-22,2.66193694839e-22,1.0
1573179526124176614,0,1573179525819464838,grasp_lab,tag_7,0.469,-0.018,-2.54,1.26807695391e-21,-1.14033347387e-22,5.90319242861e-22,1.0
1573179526124181746,0,1573179525819464838,grasp_lab,tag_14,-1.21900988922,0.0380545534708,-3.07150208543,0.00520905151831,0.038487791561,0.00210668696435,0.999243272458
1573179526124185881,0,1573179525819464838,grasp_lab,tag_8,-0.857365718262,-0.00564859019823,-1.21877845024,0.00385936531297,0.0345819895119,-0.00507479881288,0.999381527605
1573179526124189916,0,1573179525819464838,grasp_lab,tag_9,-0.644965426424,0.0241113917999,-3.11595952369,0.0107145695079,0.0372608899578,-0.0202584980233,0.999042750506
1573179526124194538,0,1573179525819464838,map,rig,0.00188014636049,0.000734361400896,0.00592400962254,0.999274229918,-0.00582975381438,-0.0376293215971,0.0010303145357
1573179526124199387,0,1573179525819464838,rig,cam0,-4.49878192445e-26,-8.16336812463e-24,1.10762783299e-25,1.28557384927e-24,5.14515204693e-25,8.91302967768e-25,1.0
1573179526364500106,0,1573179526051189853,map,grasp_lab,-6.25121675057e-21,4.5758724445e-20,1.64720374255e-20,6.34088068997e-22,-1.68227225627e-22,3.57356376551e-22,1.0
1573179526364514747,0,1573179526051189853,grasp_lab,tag_7,0.469,-0.018,-2.54,5.09927854851e-22,-1.08215778738e-22,4.93685430798e-22,1.0
1573179526364518794,0,1573179526051189853,grasp_lab,tag_14,-1.21900129975,0.038109011104,-3.07153376112,0.0052831318014,0.038479818563,0.0020990944519,0.999243206574
1573179526364523088,0,1573179526051189853,grasp_lab,tag_8,-0.857386757307,-0.00576312098097,-1.21881370438,0.00390994536567,0.0345796382039,-0.00507718349954,0.999381400245
