robot lower,robot upper,landmark 1 lower,landmark 1 upper,landmark 2 lower,landmark 2 upper,landmark 3 lower,landmark 3 upper
2.3740902626918454,2.584610871036182,-0.019615046813922846,-0.01048214906470207,1.9923339790650036,2.0003537231139514,6.003357229280462,6.011761369657527
2.556439390263965,2.7738461588998535,-0.019325769838573623,-0.010299075994012665,2.0031346476159624,2.011437019101567,5.9787399012832365,5.987589673301724
2.4463589615214314,2.658744054378227,-0.009403774593586798,-0.0015670376973201073,1.9954711684220563,2.0030916443831193,5.989117687741177,5.997544223269565
3.1191684722200144,3.348267364571978,-0.013081850086869068,-0.004639918381749325,2.0202819526053912,2.0296366989754193,5.999836501824603,6.008682670843854
2.4028263980971794,2.626071841038563,0.0076526834332704885,0.01641789240005013,1.9968397244539389,2.0057070628080242,5.982435397014412,5.991218396320549
2.5843658169867516,2.804020909392643,-0.014837032003012847,-0.006175097259076883,1.9916666954339504,1.9997721702276707,6.0037942575109025,6.012446816097496
2.7760496688881457,3.004286234279579,-0.0004879451143528935,0.008144672566183996,2.019768996645607,2.029126839230858,5.989393881528377,5.998561211855412
3.31051438315382,3.54152304665575,-0.01747569350091304,-0.008393122800313575,1.997510941496305,2.0054502172561364,5.9987151189974615,6.006302161581152
3.0056995520462606,3.2339993348250773,0.011688927674349139,0.020025336629096675,1.9956726314627606,2.0046215770638507,5.989345920644303,5.998639690317611
2.837815625112217,3.072190421182949,-0.01237730872637565,-0.004756335124308514,1.9896324158630418,1.9974462508239699,6.010817860558436,6.019425059363439
2.547402139976718,2.7705457245557525,-0.0008540274450058718,0.007457135698335864,1.9782998962124345,1.9861476021090987,6.004238404074009,6.012428008279507
2.4789654672812778,2.695082956485812,0.0011793189239520932,0.009903585489390382,2.0003530696270624,2.008068351423963,5.991937793497745,6.0004995691731535
2.5091157236818167,2.731592150616279,0.0017397691726644881,0.011060676607493554,1.9854367169522111,1.994309386334532,6.00848446663469,6.017766372598708
2.245474952718909,2.4543155250337767,0.000672676473551688,0.010092756837910714,1.9980885866504574,2.0069744702953436,6.007726774969191,6.016029252252489
3.17368562186877,3.4031872037537885,0.002122778621622296,0.01169377547769907,1.996900332741664,2.0056984297705434,6.016037207867573,6.0258720099669
2.459434407189506,2.677383048102242,-0.007752323680287354,0.0005859850614426069,2.001037428559109,2.009761025725559,6.012988487075233,6.021675666977502
2.4469003080997154,2.6653829217281655,0.0020517088651089968,0.010534766484853714,1.9867018269727739,1.995003838615605,6.005351055774017,6.013697635021882
2.947353246598497,3.1777697773883196,-0.016562410483268238,-0.008350880032273795,1.96941709516786,1.9778397083447132,5.992048395460489,6.0012949578109955
2.0433139654550945,2.2418184426869954,-0.01057190641109916,-0.0021010599350455147,1.978108086102469,1.987263761050241,5.9788726239568515,5.987326297246762
2.5707406523316223,2.790348577252118,-0.013674543253945562,-0.005553447626662997,1.9893995957227517,1.9980788989214133,6.000522344551174,6.0085575886153295
1.9020940211393584,2.095437869729782,0.002341545433228014,0.011047123685057166,1.986790589237222,1.9964047156333835,5.996284082599364,6.004915639690675
2.784543205264134,3.012000869748073,-0.020148370003645708,-0.011010947117263983,1.9922496944082777,2.000551971851488,6.006774544125499,6.015718818301258
2.6404740608954644,2.8659880362725043,-0.009269822384041853,0.0005481317590895363,1.99243801426399,2.001645628695605,5.992236384584761,6.001077404782915
3.0228411556221064,3.252737820055384,0.006915829814541851,0.015057102106940235,1.9956046546868422,2.004282811743822,5.995448978305129,6.00373658382866
2.080056460351924,2.2923113985347947,0.007135499236031505,0.017995722624615698,1.9671810407940051,1.9767343263324597,5.988837001755212,5.998440029189612
3.1533115900298516,3.3845182859161933,0.01659543468905286,0.026247899687759122,2.004403464578579,2.0134507491360205,5.991692784029617,5.99997019509636
2.1531482591579514,2.3624085531284256,-0.008042018956995692,0.0004550163666970407,2.0023059614827297,2.0106711617777684,5.995701761998114,6.004225758753839
2.9227067916256173,3.147074034942986,0.0016308592048528752,0.009423748834705058,1.9897579909325178,1.9981158017157976,5.9973922766742875,6.005971332639677
2.620852265590772,2.8427617213782224,-0.012797267565293417,-0.004394125735597506,2.00559952115401,2.0146374478401308,5.996931914607031,6.005128975590723
2.3394604147792655,2.5514182625888986,-0.016498517001040196,-0.007914858182899737,1.9803473906343105,1.9895310445005772,5.988892252480814,5.996692006552389
2.891985002230148,3.1227917044654085,0.005746553505967033,0.014442763437320816,1.9778731402058674,1.9861413899760174,5.9977611454661375,6.006250962382984
1.5850572375529624,1.7633450241810464,-0.0028790501880929503,0.005742264772160414,1.989208841987747,1.9984954350508273,5.995342842803432,6.00477064444022
1.9392197714473463,2.131912888464763,-0.001954591684452972,0.005956482459269247,1.9956483843920874,2.004232406318362,6.000199139783658,6.008692919542514
2.3462939259745967,2.566101074483167,-0.0068634393008162545,0.0025219929719080495,1.9853139233166432,1.9933700252002025,6.000479239541134,6.008100014609257
2.3205202813685673,2.539531350558923,-0.008545074964174433,0.00011120678693930623,2.002964672348306,2.011239352920249,5.984897751854759,5.9929102468024675
2.9265398691314406,3.149072199044829,-0.010597205632104291,-0.0015227637209755049,1.977516452963138,1.987090308969235,5.984840359328129,5.993133578660152
2.3547779311460064,2.572767616339345,0.01687559531038853,0.02497790335709003,2.0089070588495086,2.017175456867044,6.016061193492521,6.025398843738924
2.2434388283913056,2.4506086226279815,-0.013816212289012888,-0.004907962881051084,1.994859045436313,2.002816373417447,5.996251670321921,6.0040515981106966
2.571946121348964,2.79509975801505,0.0038342687650914694,0.011943104921341369,1.9961871989688813,2.0047087780513824,5.990099755468849,5.998223456201073
